# Scan universe — every listed company in ../stocks.csv with a tradable listing.
# Generated by build_universe.py; edit stocks.csv and re-run, not this file.
#
# One company per line:  <ISIN>,<Yahoo symbol>
#   ISIN         the identity carried into trend.json
#   Yahoo symbol how the price is fetched: SYMBOL.NS on NSE, CODE.BO for
#                BSE-only listings
#
# 1989 companies (1861 NSE, 128 BSE-only). 10 companies in stocks.csv
# are listed on neither exchange and cannot be scanned.
INE144J01027,20MICRONS.NS
INE291A01017,GRWRHITECH.NS
INE026A01025,GSFC.NS
INE713R01022,GSPCROP.NS
INE221H01019,GTLINFRA.NS
INE869I01013,GTPL.NS
INE742B01025,GUFICBIO.NS
INE186A01019,GUJALKALI.NS
INE844O01030,GUJENERGY.NS
INE942C01045,GUJTHEM.NS
INE635Q01029,GULFOILLUB.NS
INE255D01024,GULPOLY.NS
INE878A01011,GVPIL.NS
INE200A01026,GVT&D.NS
INE724A01017,GYFTR.NS
INE066F01020,HAL.NS
INE506D01020,HALDYNGL.NS
INE419U01012,HAPPSTMNDS.NS
INE330T01021,HAPPYFORGE.NS
INE626Z01029,HARDWYN.NS
INE00EV01017,HARIOMPIPE.NS
INE0JUS01029,HARSHA.NS
INE982F01036,HATHWAY.NS
INE473B01035,HATSUN.NS
INE176B01034,HAVELLS.NS
INE979B01015,HAWKINCOOK.NS
INE550F01049,HAZOOR.NS
INE292B01021,HBLENGINE.NS
INE549A01026,HCC.NS
INE075I01017,HCG.NS
INE860A01027,HCLTECH.NS
INE756I01012,HDBFS.NS
INE127D01025,HDFCAMC.NS
INE040A01034,HDFCBANK.NS
INE795G01014,HDFCLIFE.NS
INE019J01013,HEALTHX.NS
INE545A01024,HEG.NS
INE578A01017,HEIDELBERG.NS
INE0AJG01018,HEMIPROP.NS
INE694N01015,HERANBA.NS
INE978A01027,HERITGFOOD.NS
INE158A01026,HEROMOTOCO.NS
INE782E01017,HESTERBIO.NS
INE0JUI01012,HEXAGON.NS
INE750M01017,HEXATRADEX.NS
INE093A01041,HEXT.NS
INE548A01028,HFCL.NS
INE926X01010,HGINFRA.NS
INE170I01016,HGS.NS
INE475B01022,HIKAL.NS
INE049A01027,HIMATSEIDE.NS
INE038A01020,HINDALCO.NS
INE310C01029,HINDCOMPOS.NS
INE531E01026,HINDCOPPER.NS
INE345A01011,HINDOILEXP.NS
INE094A01015,HINDPETRO.NS
INE030A01027,HINDUNILVR.NS
INE05AN01011,HINDWAREAP.NS
INE267A01025,HINDZINC.NS
INE835D01023,HIRECT.NS
INE106T01025,HITECH.NS
INE120D01012,HITECHCORP.NS
INE127B01011,HITECHGEAR.NS
INE461D01028,HLEGLAS.NS
INE0ECP01024,HMAAGRO.NS
INE262A01018,HMT.NS
INE871K01015,HMVL.NS
INE254N01026,HNDFDS.NS
INE481N01025,HOMEFIRST.NS
INE0J5401028,HONASA.NS
INE671A01010,HONAUT.NS
INE634A01018,HONDAPOWER.NS
INE685T01010,HORIZONIND.NS
INE495S01016,HPL.NS
INE019C01026,HSCL.NS
INE501G01024,HTMEDIA.NS
INE703H01016,HUBTOWN.NS
INE031A01017,HUDCO.NS
INE275B01026,HUHTAMAKI.NS
INE0V6F01027,HYUNDAI.NS
INE126M01010,IBULLSLTD.NS
INE520Y01019,ICEMAKE.NS
INE346A01027,ICICIAMC.NS
INE090A01021,ICICIBANK.NS
INE765G01017,ICICIGI.NS
INE726G01019,ICICIPRULI.NS
INE483B01026,ICIL.NS
INE725G01011,ICRA.NS
INE008A01015,IDBI.NS
INE669E01016,IDEA.NS
INE349Y01013,IDEAFORGE.NS
INE092T01019,IDFCFIRSTB.NS
INE022Q01020,IEX.NS
INE076C01018,IFBAGRO.NS
INE559A01017,IFBIND.NS
INE039A01010,IFCI.NS
INE133Y01011,IFGLEXPOR.NS
INE188B01013,IGARASHI.NS
INE0Q9301021,IGIL.NS
INE203G01027,IGL.NS
INE204A01010,IGPL.NS
INE530B01024,IIFL.NS
INE489L01022,IIFLCAPS.NS
INE0LOJ01019,IKIO.NS
INE115Q01022,IKS.NS
INE172N01012,IMAGICAA.NS
INE919H01018,IMFA.NS
INE547E01014,IMPAL.NS
INE0LGX01024,INA.NS
INE065X01017,INDGN.NS
INE053A01029,INDHOTEL.NS
INE383A01012,INDIACEM.NS
INE560A01023,INDIAGLYCO.NS
INE933S01016,INDIAMART.NS
INE562A01011,INDIANB.NS
INE323C01030,INDIANHUME.NS
INE922K01024,INDIASHLTR.NS
INE646L01027,INDIGO.NS
INE09VQ01012,INDIGOPNTS.NS
INE219X23014,INDIGRID.NS
INE06ST01018,INDIQUBE.NS
INE092B01025,INDNIPPON.NS
INE760F01028,INDOAMIN.NS
INE803D01021,INDOBORAX.NS
INE873D01024,INDOCO.NS
INE622H01018,INDOFARM.NS
INE716F01012,INDOKEM.NS
INE084101034,INDOMIM.NS
INE156A01020,INDORAMA.NS
INE896L01010,INDOSTAR.NS
INE332H01014,INDOTECH.NS
INE337M01021,INDOTHAI.NS
INE620D01011,INDPRUD.NS
INE681B01017,INDRAMEDCO.NS
INE915B01019,INDSWFTLAB.NS
INE095A01012,INDUSINDBK.NS
INE0NHL23019,INDUSINVIT.NS
INE121J01017,INDUSTOWER.NS
INE0MYZ01012,INFLUX.NS
INE344S01016,INFOBEAN.NS
INE009A01021,INFY.NS
INE177A01018,INGERRAND.NS
INE0DUT01020,INNOVACAP.NS
INE403Y01018,INNOVANA.NS
INE0ADB01012,INNOVISION.NS
INE510W01014,INOXGREEN.NS
INE616N01034,INOXINDIA.NS
INE066P01011,INOXWIND.NS
INE070I01018,INSECTICID.NS
INE306R01017,INTELLECT.NS
INE00M901018,INTERARCH.NS
INE155E01016,INVPRECQ.NS
INE565A01014,IOB.NS
INE242A01010,IOC.NS
INE485C01029,IOLCP.NS
INE570A01022,IONEXCHANG.NS
INE571A01038,IPCALAB.NS
INE0D6701023,IPL.NS
INE821I01022,IRB.NS
INE183W23014,IRBINVIT.NS
INE962Y01021,IRCON.NS
INE335Y01020,IRCTC.NS
INE202E01016,IREDA.NS
INE053F01010,IRFC.NS
INE01GN01025,IRISDOREME.NS
INE07U701015,IRMENERGY.NS
INE858B01029,ISGEC.NS
INE684B01029,ISTLTD.NS
INE154A01025,ITC.NS
INE379A01028,ITCHOTELS.NS
INE353K01014,ITDC.NS
INE248A01017,ITI.NS
INE056801025,IVALUE.NS
INE1AII01014,IWARE.NS
INE0HV901016,IXIGO.NS
INE848A01014,IZMO.NS
INE168A01041,J&KBANK.NS
INE199G01027,JAGRAN.NS
INE048B01035,JAGSNPHARM.NS
INE091G01026,JAIBALAJI.NS
INE070D01027,JAICORPLTD.NS
INE0YD401026,JAINREC.NS
INE039C01032,JAMNAAUTO.NS
INE00YJ01010,JARO.NS
INE039O01029,JASH.NS
INE785A01026,JAYAGROGN.NS
INE571B01036,JAYBARMARU.NS
INE903A01025,JAYKAY.NS
INE854B01010,JAYNECOIND.NS
INE927D01051,JBMA.NS
INE0MB501011,JGCHEM.NS
INE796G01012,JINDALPHOT.NS
INE197D01010,JINDALPOLY.NS
INE324A01032,JINDALSAW.NS
INE749A01030,JINDALSTEL.NS
INE742C01031,JINDRILL.NS
INE247D01039,JINDWORLD.NS
INE758E01017,JIOFIN.NS
INE175A01038,JISLJALEQS.NS
INE863T01013,JITFINFRA.NS
INE823G01014,JKCEMENT.NS
INE576I01022,JKIL.NS
INE786A01032,JKLAKSHMI.NS
INE789E01012,JKPAPER.NS
INE573A01042,JKTYRE.NS
INE682M01020,JLHL.NS
INE780C01023,JMFINANCIL.NS
INE0OAF01028,JNKINDIA.NS
INE05C901015,JNPR.NS
INE147P01019,JPOLYINVST.NS
INE351F01018,JPPOWER.NS
INE953L01027,JSFB.NS
INE220G01021,JSL.NS
INE0J5801029,JSLL.NS
INE718I01012,JSWCEMENT.NS
INE133A01011,JSWDULUX.NS
INE121E01018,JSWENERGY.NS
INE824G01012,JSWHL.NS
INE880J01026,JSWINFRA.NS
INE019A01038,JSWSTEEL.NS
INE643A01035,JTEKTINDIA.NS
INE391J01032,JTLIND.NS
INE03CC01015,JUBLCPL.NS
INE797F01020,JUBLFOOD.NS
INE0BY001018,JUBLINGREA.NS
INE700A01033,JUBLPHARMA.NS
INE696F01016,JUNIPER.NS
INE599M01018,JUSTDIAL.NS
INE209L01016,JWL.NS
INE668F01031,JYOTHYLAB.NS
INE980O01024,JYOTICNC.NS
INE577D01013,JYOTIRES.NS
INE197A01024,JYOTISTRUC.NS
INE900B01029,KABRAEXTRU.NS
INE217B01036,KAJARIACER.NS
INE438K01021,KALAMANDIR.NS
INE227J01012,KALPATARU.NS
INE303R01014,KALYANKJIL.NS
INE411F01010,KAMAHOLD.NS
INE967C01018,KAMATHOTEL.NS
INE390H01020,KAMDHENU.NS
INE138C01024,KANORICHEM.NS
INE694E01014,KANPRPLA.NS
INE531A01024,KANSAINER.NS
INE542Z01028,KAPSTON.NS
INE0MGA01012,KARNIKA.NS
INE036D01028,KARURVYSYA.NS
INE587G01015,KAYA.NS
INE918Z01012,KAYNES.NS
INE805C01028,KCP.NS
INE291D01011,KDDL.NS
INE389H01022,KEC.NS
INE134B01017,KECL.NS
INE878B01027,KEI.NS
INE164B01030,KELLTONTEC.NS
INE717A01029,KENNAMET.NS
INE202H01019,KERNEX.NS
INE138Y01010,KFINTECH.NS
INE745B01028,KHAICHEM.NS
INE029L01018,KICL.NS
INE729D01010,KILITCH.NS
INE967H01025,KIMS.NS
INE473D01015,KINGFA.NS
INE880L01014,KIOCL.NS
INE555P01013,KIRANVYPAR.NS
INE415I01015,KIRIINDUS.NS
INE884B01025,KIRLFER.NS
INE732A01036,KIRLOSBROS.NS
INE146L01010,KIRLOSENG.NS
INE250A01039,KIRLOSIND.NS
INE811A01038,KIRLPNU.NS
INE12F801023,KISSHT.NS
INE602G01020,KITEX.NS
INE401H01017,KKCL.NS
INE338F01015,KLBRENG-B.NS
INE879K01018,KMCSHIL.NS
INE0CJD01029,KMEW.NS
INE17QZ01016,KNACK.NS
INE0KNW01016,KNAGRI.NS
INE634I01029,KNRCON.NS
INE0Q7P01013,KODYTECH.NS
INE760A01029,KOKUYOCMLN.NS
INE094I01018,KOLTEPATIL.NS
INE082A01010,KOPRAN.NS
INE237A01036,KOTAKBANK.NS
INE720A01015,KOTHARIPET.NS
INE972A01020,KOTIC.NS
INE177F01017,KOVAI.NS
INE127T01021,KPEL.NS
INE542W01025,KPIGREEN.NS
INE220B01022,KPIL.NS
INE04I401011,KPITTECH.NS
INE552U01010,KPL.NS
INE930H01031,KPRMILL.NS
INE001B01026,KRBL.NS
INE506W01020,KRISHANA.NS
INE0GGO01015,KRISHIVAL.NS
INE0J5601015,KRISHNADEF.NS
INE1MTV01019,KRMAYURVED.NS
INE0Q3J01015,KRN.NS
INE0ATZ01017,KRONOX.NS
INE0O6601022,KROSS.NS
INE08LI01020,KRSNAA.NS
INE1JAR25012,KRT.NS
INE0QN801017,KRYSTAL.NS
INE999A01023,KSB.NS
INE455I01029,KSCL.NS
INE953E01022,KSE.NS
INE987S01020,KSHINTL.NS
INE907A01026,KSL.NS
INE0D6I01023,KSOLVES.NS
INE614B01018,KTKBANK.NS
INE529I01021,KUANTUM.NS
INE0ISX01025,KUSUMGAR.NS
INE2KCE01013,KWIL.NS
INE938C01019,LAKSHMIMIL.NS
INE0K9O01026,LALITHAA.NS
INE600L01024,LALPATHLAB.NS
INE559R01029,LANDMARK.NS
INE059D01020,LAOPALA.NS
INE17IR01028,LASERPOWER.NS
INE0I7C01011,LATENTVIEW.NS
INE947Q01028,LAURUSLABS.NS
INE0WO601020,LAXMIDENTL.NS
INE06WU01026,LAXMIINDIA.NS
INE0QJW01029,LCL.NS
INE00GO01025,LEAPIND.NS
INE970X01018,LEMONTREE.NS
INE956O01016,LENSKART.NS
INE337A01034,LGBBROSLTD.NS
INE324D01010,LGEINDIA.NS
INE258Y01016,LGHL.NS
INE115A01026,LICHSGFIN.NS
INE0J1Y01017,LICI.NS
INE060901027,LIKHITHA.NS
INE802B01027,LINC.NS
INE405C01035,LINCOLN.NS
INE473A01011,LINDEINDIA.NS
INE093R01011,LLOYDSENGG.NS
INE080I01025,LLOYDSENT.NS
INE281B01032,LLOYDSME.NS
INE269B01029,LMW.NS
INE670K01029,LODHA.NS
INE397H01017,LOKESHMACH.NS
INE026D01011,LOTUSCHO.NS
INE0V9Q01010,LOTUSDEV.NS
INE018A01030,LT.NS
INE498L01015,LTF.NS
INE818H01020,LTFOODS.NS
INE214T01019,LTM.NS
INE010V01017,LTTS.NS
INE162B01018,LUMAXIND.NS
INE872H01027,LUMAXTECH.NS
INE326A01037,LUPIN.NS
INE150G01020,LUXIND.NS
INE576O01020,LXCHEM.NS
INE101A01026,M&M.NS
INE774D01024,M&MFIN.NS
INE215I01027,MAANALU.NS
INE155Z01011,MACPOWER.NS
INE414A01015,MADRASFERT.NS
INE270B01035,MAFATIND.NS
INE347W01011,MAGADSUGAR.NS
INE457A01014,MAHABANK.NS
INE451L01014,MAHASTEEL.NS
INE813A01018,MAHLIFE.NS
INE766P01016,MAHLOG.NS
INE288A01013,MAHSCOOTER.NS
INE271B01025,MAHSEAMLES.NS
INE683C01011,MAITHANALL.NS
INE389C01015,MALLCOM.NS
INE0TO701015,MAMATA.NS
INE830Q01018,MANAKCOAT.NS
INE824Q01011,MANAKSTEEL.NS
INE201A01024,MANALIPETC.NS
INE522D01027,MANAPPURAM.NS
INE939X01013,MANBA.NS
INE347A01017,MANGLMCEM.NS
INE993A01026,MANINDS.NS
INE949H01023,MANINFRA.NS
INE459N01021,MANIPALHOS.NS
INE634S01028,MANKIND.NS
INE00VM01036,MANORAMA.NS
INE825V01034,MANYAVAR.NS
INE0BV301023,MAPMYINDIA.NS
INE182D01020,MARATHON.NS
INE196A01026,MARICO.NS
INE01JE01028,MARINE.NS
INE750C01026,MARKSANS.NS
INE415B01044,MARSONS.NS
INE585B01010,MARUTI.NS
INE348L01012,MASFIN.NS
INE759A01021,MASTEK.NS
INE677D01037,MASTERTR.NS
INE866R01028,MATRIMONY.NS
INE636A01039,MAWANASUG.NS
INE03EI01018,MAXESTATES.NS
INE027H01010,MAXHEALTH.NS
INE0CG601016,MAXIND.NS
INE040D01038,MAYURUNIQ.NS
INE249Z01020,MAZDOCK.NS
INE900L01028,MBAPL.NS
INE08N601015,MBEL.NS
INE435D01014,MCCHRLS-B.NS
INE942G01012,MCLEODRUSS.NS
INE613C01026,MCLOUD.NS
INE745G01043,MCX.NS
INE474Q01031,MEDANTA.NS
INE456Z01021,MEDIASSIST.NS
INE804L01022,MEDPLUS.NS
INE0VDM01015,MEESHO.NS
INE0PKD01011,MEIL.NS
INE071D01033,MENONBE.NS
INE763M01028,MERCURYEV.NS
INE317I01021,METROBRAND.NS
INE112L01020,METROPOLIS.NS
INE180A01020,MFSL.NS
INE002S01010,MGL.NS
INE998I01010,MHRIL.NS
INE287C01037,MICEL.NS
INE099Z01011,MIDHANI.NS
INE0XAD01024,MIDWESTLTD.NS
INE898Q01015,MIIL.NS
INE00IT01020,MILKYMIST.NS
INE842C01021,MINDACORP.NS
INE0CCU25019,MINDSPACE.NS
INE110B01017,MINDTECK.NS
INE227C01017,MMFL.NS
INE511Y01018,MMP.NS
INE123F01029,MMTC.NS
INE200D01020,MMWL.NS
INE0HLU01028,MOBIKWIK.NS
INE0L0L01012,MODIS.NS
INE737D01021,MODISONLTD.NS
INE490G01020,MOIL.NS
INE0CT101020,MOL.NS
INE869T01028,MOLBIO.NS
INE835B01035,MOLDTECH.NS
INE893J01029,MOLDTKPAC.NS
INE903D01011,MONARCH.NS
INE1DV401010,MONOLITH.NS
INE950M01013,MONTECARLO.NS
INE083A01026,MOREPENLAB.NS
INE935B01025,MOSCHIP.NS
INE775A01035,MOTHERSON.NS
INE338I01027,MOTILALOFS.NS
INE0FRK01020,MOTISONS.NS
INE356A01018,MPHASIS.NS
INE943D01017,MPSLTD.NS
INE883A01011,MRF.NS
INE103A01014,MRPL.NS
INE752G01015,MSPL.NS
INE255X01014,MSTCLTD.NS
INE0FS801015,MSUMI.NS
INE864I01014,MTARTECH.NS
INE153A01019,MTNL.NS
INE08KJ01020,MUFIN.NS
INE304A01026,MUKANDLTD.NS
INE0CG401037,MUKKA.NS
INE672B01032,MUNJALAU.NS
INE577A01027,MUNJALSHOW.NS
INE414G01012,MUTHOOTFIN.NS
INE046W01019,MUTHOOTMF.NS
INE0OWZ01020,MVELECTRO.NS
INE0KNT01012,MVGJL.NS
INE0SGC01015,MVKAGRO.NS
INE0JYY01029,MWL.NS
INE295D01020,NACLIND.NS
INE289A01011,NAHARINDUS.NS
INE308A01027,NAHARPOLY.NS
INE290A01027,NAHARSPING.NS
INE298J01013,NAM-INDIA.NS
INE08NZ01012,NAMOEWASTE.NS
INE987B01026,NATCOPHARM.NS
INE139A01034,NATIONALUM.NS
INE663F01032,NAUKRI.NS
INE725A01030,NAVA.NS
INE048G01026,NAVINFLUOR.NS
INE278M01019,NAVKARCORP.NS
INE060A01024,NAVNETEDUL.NS
INE418L01047,NAZARA.NS
INE095N01031,NBCC.NS
INE365I01020,NBIFIN.NS
INE868B01028,NCC.NS
INE732C01016,NCLIND.NS
INE07OG01012,NDRAUTO.NS
INE0Q7Q23015,NDRINVIT.NS
INE155G01029,NDTV.NS
INE189I01024,NELCAST.NS
INE045B01015,NELCO.NS
INE136S01016,NEOGEN.NS
INE428V01029,NEPHROPLUS.NS
INE317F01035,NESCO.NS
INE239A01024,NESTLEIND.NS
INE0NT901020,NETWEB.NS
INE870H01013,NETWORK18.NS
INE333I01044,NEUEON.NS
INE794A01010,NEULANDLAB.NS
INE619B01017,NEWGEN.NS
INE870D01012,NFL.NS
INE887E01022,NGLFINE.NS
INE410P01011,NH.NS
INE0H7R23014,NHIT.NS
INE848E01016,NHPC.NS
INE470Y01017,NIACL.NS
INE149O01018,NIBE.NS
INE161A01038,NIITLTD.NS
INE342G01023,NIITMTS.NS
INE00S901012,NILASPACES.NS
INE310A01015,NILKAMAL.NS
INE395U01014,NINSYS.NS
INE910A01012,NIRLON.NS
INE858F01012,NITCO.NS
INE229H01012,NITINSPIN.NS
INE265B01019,NITTAGELA.NS
INE995S01015,NIVABUPA.NS
INE589A01014,NLCINDIA.NS
INE584A01023,NMDC.NS
INE163A01018,NOCIL.NS
INE850M01015,NORTHARC.NS
INE234A01025,NOVARTIND.NS
INE0FFK01017,NPST.NS
INE740D01017,NRAIL.NS
INE349A01021,NRBBEARING.NS
INE0JM501013,NRL.NS
INE023A01030,NSIL.NS
INE0NNS01018,NSLNISP.NS
INE733E01010,NTPC.NS
INE0ONG01011,NTPCGREEN.NS
INE096B01018,NUCLEUS.NS
INE531F01023,NUVAMA.NS
INE118D01016,NUVOCO.NS
INE0NDH25011,NXST.NS
INE0SF023016,NXT-INFRA.NS
INE388Y01029,NYKAA.NS
INE959C01023,OAL.NS
INE093I01010,OBEROIRLTY.NS
INE0YHV01011,OBSCP.NS
INE0PK601023,OCCLLTD.NS
INE881D01027,OFSS.NS
INE274J01014,OIL.NS
INE0LXG01040,OLAELEC.NS
INE260D01016,OLECTRA.NS
INE800H01010,OMAXE.NS
INE239D01028,OMINFRAL.NS
INE0UH301010,OMNI.NS
INE25E901019,OMPOWER.NS
INE670O01013,ONEGLOBAL.NS
INE840Y01029,ONEPOINT.NS
INE013P01021,ONESOURCE.NS
INE213A01029,ONGC.NS
INE831A01028,ONIDA.NS
INE173M01012,ONIXSOLAR.NS
INE809I01019,ONMOBILE.NS
INE229A01017,ONWARDTEC.NS
INE350C01017,OPTIEMUS.NS
INE231G01010,ORBTEXP.NS
INE191A01027,ORCHPHARMA.NS
INE0OUT01019,ORIANA.NS
INE730A01022,ORICONENT.NS
INE607D01018,ORIENTBELL.NS
INE876N01018,ORIENTCEM.NS
INE569C01020,ORIENTCER.NS
INE142Z01019,ORIENTELEC.NS
INE750A01020,ORIENTHOT.NS
INE0PPK01015,ORIENTTECH.NS
INE457G01029,ORIRAIL.NS
INE725E01024,ORISSAMINE.NS
INE16NZ01023,ORKLAINDIA.NS
INE0RMF01018,OSELDEVICE.NS
INE143A01010,OSWALGREEN.NS
INE0BYP01024,OSWALPUMPS.NS
INE0S3G01027,PACEDIGITK.NS
INE761H01022,PAGEIND.NS
INE420C01059,PAISALO.NS
INE922B01023,PANACEABIO.NS
INE895W01019,PANACHE.NS
INE305C01029,PANAMAPET.NS
INE798F01010,PANCHMAHQ.NS
INE258R01028,PANORAMA.NS
INE697V01011,PANSARI.NS
INE074B01023,PARACABLES.NS
INE088F01024,PARADEEP.NS
INE883N01014,PARAGMILK.NS
INE045601023,PARAS.NS
INE00U801010,PARIN.NS
INE119201023,PARKHOSPS.NS
INE988S01028,PARKHOTELS.NS
INE1H7V01011,PARTH.NS
INE124Y01028,PASHUPATI.NS
INE818B01023,PASUPTAC.NS
INE619A01035,PATANJALI.NS
INE244B01030,PATELENG.NS
INE0R8B01010,PATELRMART.NS
INE17GV01016,PATILAUTOM.NS
INE111F01024,PAUSHAKLTD.NS
INE982J01020,PAYTM.NS
INE602A01031,PCBL.NS
INE998U01015,PCCL.NS
INE785M01021,PCJEWELLER.NS
INE865T01018,PDMJEPAPER.NS
INE111Q01021,PDSL.NS
INE932A01024,PENIND.NS
INE138A01028,PENINLAND.NS
INE418E01018,PERMAGN.NS
INE262H01021,PERSISTENT.NS
INE347G01014,PETRONET.NS
INE134E01011,PFC.NS
INE182A01018,PFIZER.NS
INE367G01038,PFOCUS.NS
INE560K01014,PFS.NS
INE457L01029,PGEL.NS
INE179A01014,PGHH.NS
INE199A01012,PGHL.NS
INE940H01022,PGIL.NS
INE0GGX23010,PGINVIT.NS
INE211B01039,PHOENIXLTD.NS
INE546C01010,PICCADIL.NS
INE318A01026,PIDILITIND.NS
INE603J01030,PIIND.NS
INE417C01014,PILANIINVS.NS
INE15B701018,PINELABS.NS
INE202B01038,PIRAMALFIN.NS
INE450D01021,PITTIENG.NS
INE751B01018,PIXTRANS.NS
INE0PT501018,PLATIND.NS
INE160A01022,PNB.NS
INE859A01011,PNBGILTS.NS
INE572E01012,PNBHOUSING.NS
INE195J01029,PNCINFRA.NS
INE953R01016,PNGJL.NS
INE1RDG01013,PNGSREVA.NS
INE063E01061,POCL.NS
INE035S01028,POEL.NS
INE637C01025,POKARNA.NS
INE417T01026,POLICYBZR.NS
INE455K01017,POLYCAB.NS
INE205C01021,POLYMED.NS
INE633B01018,POLYPLEX.NS
INE511C01022,POONAWALLA.NS
INE752E01010,POWERGRID.NS
INE921L01032,POWERICA.NS
INE07Y701011,POWERINDIA.NS
INE211R01019,POWERMECH.NS
INE050001010,PPL.NS
INE0DK501011,PPLPHARMA.NS
INE0I0M01023,PRABHA.NS
INE770A01010,PRADPME.NS
INE074A01025,PRAJIND.NS
INE603A01013,PRAKASH.NS
INE722B01019,PRAVEG.NS
INE484I01029,PRECAM.NS
INE283A01014,PRECOT.NS
INE372C01037,PRECWIRE.NS
INE863B01029,PREMEXPLN.NS
INE0BS701011,PREMIERENE.NS
INE309M01020,PREMIERPOL.NS
INE811K01011,PRESTIGE.NS
INE726V01018,PRICOLLTD.NS
INE032B01021,PRIMESECU.NS
INE607A01022,PRIMO.NS
INE689W01016,PRINCEPIPE.NS
INE959A01019,PRIVISCL.NS
INE0V9N01017,PRIZOR.NS
INE0BX301013,PROSTARM.NS
INE004A01022,PROTEAN.NS
INE0ONE01016,PROV.NS
INE195N01013,PROZONER.NS
INE010A01011,PRSMJOHNSN.NS
INE00F201020,PRUDENT.NS
INE608A01012,PSB.NS
INE488V01015,PSPPROJECT.NS
INE877F01012,PTC.NS
INE596F01018,PTCIL.NS
INE034D01049,PTL.NS
INE277B01014,PUNJABCHEM.NS
INE323I01011,PURVA.NS
INE362A01016,PVP.NS
INE191H01014,PVRINOX.NS
INE772T01024,PVSL.NS
INE0LP301011,PWL.NS
INE0MIS01010,PYRAMID.NS
INE1G2W01011,QLINE.NS
INE0SII01026,QPOWER.NS
INE0LRY01011,QUADFUTURE.NS
INE615P01015,QUESS.NS
INE306L01010,QUICKHEAL.NS
INE704B01017,RACLGEAR.NS
INE583V01021,RADHIKAJWE.NS
INE944F01028,RADICO.NS
INE0DD101019,RAILTEL.NS
INE855B01025,RAIN.NS
INE961O01016,RAINBOW.NS
INE343B01030,RAJESHEXPO.NS
INE535F01024,RAJOOENG.NS
INE296E01026,RAJPALAYAM.NS
INE451D01029,RAJRATAN.NS
INE533D01032,RAJRILTD.NS
INE613A01020,RALLIS.NS
INE230R01035,RAMASTEEL.NS
INE1SJO01012,RAMBHAJO.NS
INE331A01037,RAMCOCEM.NS
INE614A01028,RAMCOIND.NS
INE246B01019,RAMCOSYS.NS
INE874I01013,RAMKY.NS
INE207E01023,RAMRAT.NS
INE384A01010,RANEHOLDIN.NS
INE0CLI01024,RATEGAIN.NS
INE703B01027,RATNAMANI.NS
INE05CZ01011,RATNAVEER.NS
INE301A01014,RAYMOND.NS
INE02ID01020,RAYMONDLSL.NS
INE1SY401010,RAYMONDREL.NS
INE07T201019,RBA.NS
INE976G01028,RBLBANK.NS
INE0PEQ01016,RBZJEWEL.NS
INE027A01015,RCF.NS
INE020B01018,RECLTD.NS
INE891D01026,REDINGTON.NS
INE0LXT01019,REDTAPE.NS
INE056I01025,REFEX.NS
INE0MHO01029,REGAAL.NS
INE131B01039,RELAXO.NS
INE002A01018,RELIANCE.NS
INE621H01010,RELIGARE.NS
INE036A01016,RELINFRA.NS
INE206N01018,RELTD.NS
INE0O5T01011,REMUS.NS
INE087H01022,RENUKA.NS
INE612J01015,REPCOHOME.NS
INE688D01026,RESPONIND.NS
INE722H01024,RGL.NS
INE0KKN01029,RHETAN.NS
INE743M01012,RHIM.NS
INE209B01025,RICOAUTO.NS
INE046A01015,RIIL.NS
INE2PB023011,RIIT.NS
INE302D01024,RIR.NS
INE0N2P01017,RISHABH.NS
INE01EG01016,RITCO.NS
INE320J01015,RITES.NS
INE399G01023,RKFORGE.NS
INE219Y01026,RMDRIP.NS
INE050H01012,RML.NS
INE0SA001017,RNFI.NS
INE0JEI23010,ROADSTAR.NS
INE283H01019,ROHLTD.NS
INE645S01024,ROLEXRINGS.NS
INE02A801020,ROSSARI.NS
INE0OJW01016,ROSSTECH.NS
INE535D01037,ROTO.NS
INE450U01017,ROUTE.NS
INE912T01018,RPEL.NS
INE105J01010,RPGLIFE.NS
INE614G01033,RPOWER.NS
INE425Y01011,RPSGVENT.NS
INE0J1F01024,RPTECH.NS
INE777K01022,RRKABEL.NS
INE313L01016,RSL.NS
INE611A01016,RSWM.NS
INE411H01032,RSYSTEMS.NS
INE834M01019,RTNINDIA.NS
INE399K01017,RTNPOWER.NS
INE506V01022,RUBICON.NS
INE301D01026,RUBYMILLS.NS
INE895B01021,RUPA.NS
INE263M01029,RUSTOMJEE.NS
INE415G01027,RVNL.NS
INE13B501022,SAATVIKGL.NS
INE1ARD01016,SACHEEROME.NS
INE888C01040,SADHNANIQ.NS
INE429E01023,SAFARI.NS
INE17D601016,SAFEENTP.NS
INE229C01021,SAGCEM.NS
INE0W2G01015,SAGILITY.NS
INE0LEX01011,SAHANA.NS
INE0RBQ01018,SAHASRA.NS
INE114A01011,SAIL.NS
INE570L01029,SAILIFE.NS
INE0H9F01037,SAIPARENT.NS
INE732S01012,SAKAR.NS
INE667G01023,SAKSOFT.NS
INE170V01027,SALASAR.NS
INE658G01014,SALSTEEL.NS
INE457F01013,SALZERELEC.NS
INE12NJ01018,SAMBHV.NS
INE08U801020,SAMHI.NS
INE148I01020,SAMMAANCAP.NS
INE0JPD01013,SANATHAN.NS
INE583B01015,SANDESH.NS
INE278H01035,SANDHAR.NS
INE149K01016,SANDUMA.NS
