# Scan universe — every listed company in ../stocks.csv with a tradable listing.
# Generated by build_universe.py; edit stocks.csv and re-run, not this file.
#
# One company per line:  <ISIN>,<Yahoo symbol>
#   ISIN         the identity carried into trend.json
#   Yahoo symbol how the price is fetched: SYMBOL.NS on NSE, CODE.BO for
#                BSE-only listings
#
# 1989 companies (1861 NSE, 128 BSE-only). 10 companies in stocks.csv
# are listed on neither exchange and cannot be scanned.
INE144J01027,20MICRONS.NS
INE03Q201024,ALIVUS.NS
INE540L01014,ALKEM.NS
INE150B01039,ALKYLAMINE.NS
INE418H01029,ALLCARGO.NS
INE835G01018,ALLDIGI.NS
INE0GV601021,ALLTIME.NS
INE270A01029,ALOKINDS.NS
INE0R4701017,ALPEXSOLAR.NS
INE121R01077,AMAGI.NS
INE841D01013,AMAL.NS
INE084K01015,AMANTA.NS
INE371P01015,AMBER.NS
INE540G01014,AMBIKCO.NS
INE079A01024,AMBUJACEM.NS
INE275D01022,AMNPLST.NS
INE098F01031,AMRUTANJAN.NS
INE463V01026,ANANDRATHI.NS
INE1UA823019,ANANTAM.NS
INE242C01024,ANANTRAJ.NS
INE1J5V01013,ANAWIL.NS
INE435A01051,ANDHRAPAP.NS
INE715B01021,ANDHRSUGAR.NS
INE449C01025,ANDREWYU.NS
INE732I01021,ANGELONE.NS
INE0VTV01012,ANONDITA.NS
INE818A01017,ANTELOPUS.NS
INE0CZ201020,ANTHEM.NS
INE489G01022,ANUHPHR.NS
INE294Z01018,ANUP.NS
INE930P01018,ANURAS.NS
INE0MIZ23019,ANZEN.NS
INE372A01015,APARINDS.NS
INE116A01032,APCOTEXIND.NS
INE346W01013,APEX.NS
INE702C01027,APLAPOLLO.NS
INE901L01018,APLLTD.NS
INE713T01028,APOLLO.NS
INE437A01024,APOLLOHOSP.NS
INE126J01016,APOLLOPIPE.NS
INE438A01022,APOLLOTYRE.NS
INE0P0001010,APS.NS
INE1OOJ01011,APSISAERO.NS
INE266F01018,APTECHT.NS
INE852O01025,APTUS.NS
INE416A01051,AQYLON.NS
INE0XNF01022,ARDEE.NS
INE885A01032,ARE&M.NS
INE784R01023,ARFIN.NS
INE298I01015,ARIES.NS
INE413D01011,ARIHANT.NS
INE420B01036,ARIHANTCAP.NS
INE643K01018,ARIHANTSUP.NS
INE0H9P01028,ARIS.NS
INE0QRL01017,ARKADE.NS
INE109C01017,ARMANFIN.NS
INE570D01018,ARROWGREEN.NS
INE549H01021,ARSSBL.NS
INE025R01021,ARTEMISMED.NS
INE034A01011,ARVIND.NS
INE955V01021,ARVINDFASN.NS
INE034S01021,ARVSMART.NS
INE032E01017,ARYAMAN.NS
INE439A01020,ASAHIINDIA.NS
INE900C01027,ASAL.NS
INE073G01016,ASALCBR.NS
INE348A01023,ASHAPURMIN.NS
INE365D01021,ASHIANA.NS
INE094B01013,ASHIKAG.NS
INE442H01029,ASHOKA.NS
INE208A01029,ASHOKLEY.NS
INE276G01015,ASIANENE.NS
INE363A01022,ASIANHOTNR.NS
INE021A01026,ASIANPAINT.NS
INE022I01019,ASIANTILES.NS
INE491J01022,ASKAUTOLTD.NS
INE194D01017,ASTAR.NS
INE563J01010,ASTEC.NS
INE914M01019,ASTERDM.NS
INE006I01046,ASTRAL.NS
INE386C01029,ASTRAMICRO.NS
INE203A01020,ASTRAZEN.NS
INE399L01023,ATGL.NS
INE0LEZ01016,ATHERENERG.NS
INE0NN701020,ATL.NS
INE0Z4F01028,ATLANTAELE.NS
INE100A01010,ATUL.NS
INE951D01028,ATULAUTO.NS
INE949L01017,AUBANK.NS
INE132H01018,AURIONPRO.NS
INE406A01037,AUROPHARMA.NS
INE898S01029,AURUM.NS
INE449A01011,AUTOAXLES.NS
INE349W01017,AVADHSUGAR.NS
INE0LCL01028,AVALON.NS
INE005B01027,AVANTEL.NS
INE871C01038,AVANTIFEED.NS
INE679V01027,AVL.NS
INE488D01021,AVTNPL.NS
INE108V01019,AWFIS.NS
INE01BK01022,AWHCL.NS
INE699H01024,AWL.NS
INE238A01034,AXISBANK.NS
INE555B01013,AXISCADES.NS
INE767C01012,AXTEL.NS
INE501X01029,AYE.NS
INE193B01039,AYMSYNTEX.NS
INE02IJ01035,AZAD.NS
INE878I01022,BAFNAPH.NS
INE2OVN25015,BAGMANE.NS
INE029Q01017,BAHETI.NS
INE917I01010,BAJAJ-AUTO.NS
INE933K01021,BAJAJCON.NS
INE193E01025,BAJAJELEC.NS
INE918I01026,BAJAJFINSV.NS
INE411U01027,BAJAJHCARE.NS
INE377Y01014,BAJAJHFL.NS
INE306A01021,BAJAJHIND.NS
INE118A01012,BAJAJHLDNG.NS
INE0O9T01021,BAJAJINDEF.NS
INE704G01024,BAJAJST.NS
INE0KQN01018,BAJEL.NS
INE296A01032,BAJFINANCE.NS
INE794B01026,BALAJITELE.NS
INE050E01027,BALAMINES.NS
INE787D01026,BALKRISIND.NS
INE164A01016,BALMLAWRIE.NS
INE119A01028,BALRAMCHIN.NS
INE011E01029,BALUFORGE.NS
INE459A01010,BANARISUG.NS
INE213C01025,BANCOINDIA.NS
INE545U01014,BANDHANBNK.NS
INE028A01039,BANKBARODA.NS
INE084A01016,BANKINDIA.NS
INE0B9K01025,BANSALWIRE.NS
INE373A01013,BASF.NS
INE176A01028,BATAINDIA.NS
INE462A01022,BAYERCROP.NS
INE464A01036,BBL.NS
INE676A01027,BBOX.NS
INE050A01025,BBTC.NS
INE425B01027,BCG.NS
INE412G01024,BCLIND.NS
INE171Z01026,BDL.NS
INE495P01020,BECTORFOOD.NS
INE213D01015,BEEKAY.NS
INE263A01024,BEL.NS
INE894V01022,BELRISE.NS
INE258A01024,BEML.NS
INE664D01019,BENARAS.NS
INE083K01017,BENGALASM.NS
INE922A01025,BEPL.NS
INE463A01038,BERGEPAINT.NS
INE052T01021,BESTAGRO.NS
INE351Y01019,BETA.NS
INE878K01010,BFINVEST.NS
INE243D01012,BFUTILITIE.NS
INE661I01014,BGRENERGY.NS
INE414D01027,BHAGCHEM.NS
INE354C01027,BHAGERIA.NS
INE458B01036,BHAGYANGR.NS
INE05XR01022,BHARATCOAL.NS
INE465A01025,BHARATFORG.NS
INE838B01021,BHARATRAS.NS
INE415D01024,BHARATSE.NS
INE316L01019,BHARATWIRE.NS
INE397D01024,BHARTIARTL.NS
INE343G01021,BHARTIHEXA.NS
INE257A01026,BHEL.NS
INE412U01025,BIGBLOC.NS
INE00E101023,BIKAJI.NS
INE828A01016,BIL.NS
INE376G01013,BIOCON.NS
INE0FDU25010,BIRET.NS
INE800A01015,BIRLACABLE.NS
INE340A01012,BIRLACORPN.NS
INE865C01022,BIRLAMONEY.NS
INE557A01011,BIRLANU.NS
INE0UIZ01018,BLACKBUCK.NS
INE761G01016,BLACKROSE.NS
INE0N7W01012,BLAL.NS
INE1EEM01017,BLEL.NS
INE525F01025,BLIL.NS
INE416D01022,BLISSGVS.NS
INE350H01032,BLKASHYAP.NS
INE153T01027,BLS.NS
INE0NLT01010,BLSE.NS
INE373T01047,BLUECLOUDS.NS
INE233B01017,BLUEDART.NS
INE0KBH01020,BLUEJET.NS
INE472A01039,BLUESTARCO.NS
INE304W01038,BLUESTONE.NS
INE0U4101014,BLUSPRING.NS
INE00HZ01011,BNAGROCHEM.NS
INE338D01028,BODALCHEM.NS
INE032A01023,BOMDYEING.NS
INE16SF01016,BORANA.NS
INE02PY01013,BOROLTD.NS
INE666D01022,BORORENEW.NS
INE02L001032,BOROSCI.NS
INE782A01015,BOSCH-HCIL.NS
INE323A01026,BOSCHLTD.NS
INE029A01011,BPCL.NS
INE365Y01019,BPLPHARMA.NS
INE791I01019,BRIGADE.NS
INE03NU01014,BRIGHOTEL.NS
INE216A01030,BRITANNIA.NS
INE118H01025,BSE.NS
INE032Z01020,BSHSL.NS
INE836A01035,BSOFT.NS
INE24OJ01011,BUILDPRO.NS
INE295F01017,BUTTERFLY.NS
INE052I01032,CAMLINFINE.NS
INE278Y01022,CAMPUS.NS
INE596I01020,CAMS.NS
INE476A01022,CANBK.NS
INE477A01020,CANFINHOME.NS
INE01TY01017,CANHLIFE.NS
INE068L01024,CANTABIL.NS
INE264T01014,CAPACITE.NS
INE0ILV01024,CAPILLARY.NS
INE0Z8Z23013,CAPINVIT.NS
INE646H01017,CAPITALSFB.NS
INE475E01026,CAPLIPOINT.NS
INE120A01034,CARBORUNIV.NS
INE752H01013,CARERATING.NS
INE0V7W01012,CARRARO.NS
INE290S01011,CARTRADE.NS
INE482D01024,CARYSIL.NS
INE172A01027,CASTROLIND.NS
INE483S01020,CCAVENUE.NS
INE429I01024,CCCL.NS
INE421D01022,CCL.NS
INE736A01011,CDSL.NS
INE482A01020,CEATLTD.NS
INE0AG901020,CEIGALL.NS
INE016Q01014,CEINSYS.NS
INE0OMO01025,CELLECOR.NS
INE0LMW01024,CELLO.NS
INE686A01026,CEMPRO.NS
INE485A01015,CENTENKA.NS
INE483A01010,CENTRALBK.NS
INE660C01027,CENTRUM.NS
INE320B01020,CENTUM.NS
INE348B01021,CENTURYPLY.NS
INE739E01017,CERA.NS
INE486A01021,CESC.NS
INE037Z01029,CEWATER.NS
INE180C01042,CGCL.NS
INE067A01029,CGPOWER.NS
INE427F01016,CHALET.NS
INE085A01013,CHAMBLFERT.NS
INE0B2N01016,CHANDAN.NS
INE0TGX01019,CHEMBONDCH.NS
INE03YM01018,CHEMCON.NS
INE783X01023,CHEMFAB.NS
INE488A01050,CHEMPLASTS.NS
INE178A01016,CHENNPETRO.NS
INE974B01016,CHEVIOT.NS
INE102B01014,CHOICEIN.NS
INE121A01024,CHOLAFIN.NS
INE149A01033,CHOLAHLDNG.NS
INE536H01010,CIEINDIA.NS
INE345H01024,CIFL.NS
INE059A01026,CIPLA.NS
INE2Q7823014,CITIUSINVT.NS
INE227W01023,CLEAN.NS
INE647U01026,CLEANMAX.NS
INE419D01026,CLSEL.NS
INE11XY01018,CMLL.NS
INE05HV01027,CMPDI.NS
INE00WV01027,CMRGREEN.NS
INE925R01014,CMSINFO.NS
INE985W01018,CNL.NS
INE522F01014,COALINDIA.NS
INE704P01025,COCHINSHIP.NS
INE515A01019,COCKERILL.NS
INE335K01011,COFFEEDAY.NS
INE591G01025,COFORGE.NS
INE03QK01018,COHANCE.NS
INE259A01022,COLPAL.NS
INE073V01015,COMSYN.NS
INE111A01025,CONCOR.NS
INE338H01029,CONCORDBIO.NS
INE552D01024,CONFIPET.NS
INE025A01027,CONSOFINVT.NS
INE663B01015,CONTROLPR.NS
INE0LZF01013,CORDELIA.NS
INE169A01031,COROMANDEL.NS
INE02ZQ01018,CORONA.NS
INE757A01017,COSMOFIRST.NS
INE819V01029,CPPLUS.NS
INE00LO01017,CRAFTSMAN.NS
INE218I01013,CRAMC.NS
INE1KPX01025,CREDENT.NS
INE741K01010,CREDITACC.NS
INE559D01011,CREST.NS
INE007A01025,CRISIL.NS
INE0S4R01014,CRIZAC.NS
INE299U01018,CROMPTON.NS
INE679A01013,CSBBANK.NS
INE718F01018,CSLFINANCE.NS
INE0ZK601013,CSM.NS
INE491A01021,CUB.NS
INE0NR623014,CUBEINVIT.NS
INE298A01020,CUMMINSIND.NS
INE509F01029,CUPID.NS
INE136B01020,CYIENT.NS
INE055S01018,CYIENTDLM.NS
INE016A01026,DABUR.NS
INE00R701025,DALBHARAT.NS
INE495A01022,DALMIASUG.NS
INE284H01025,DAMCAPITAL.NS
INE0YU901016,DANISH.NS
INE365B01017,DATAMATICS.NS
INE0IX101010,DATAPATTNS.NS
INE950I01011,DBCORP.NS
INE917M01012,DBL.NS
INE0I3401014,DBOL.NS
INE879I01012,DBREALTY.NS
INE385W01011,DCAL.NS
INE503A01015,DCBBANK.NS
INE0A1101019,DCI.NS
INE499A01024,DCMSHRIRAM.NS
INE0OU201013,DCMSIL.NS
INE500A01029,DCW.NS
INE0KL801015,DCXINDIA.NS
INE0HR601026,DDEVPLSTIK.NS
INE583C01021,DECCANCE.NS
INE945F01025,DECNGOLD.NS
INE841L01016,DEEDEV.NS
INE501A01019,DEEPAKFERT.NS
INE288B01029,DEEPAKNTR.NS
INE0FHS01024,DEEPINDS.NS
INE148O01028,DELHIVERY.NS
INE124G01033,DELTACORP.NS
INE947J01015,DEN.NS
INE0R4L01018,DENTA.NS
INE0N5801013,DENTALKART.NS
INE872J01023,DEVYANI.NS
INE260R01016,DHABRIYA.NS
INE041A01016,DHAMPURSUG.NS
INE680A01011,DHANBANK.NS
INE435G01025,DHANUKA.NS
INE00OQ01016,DHARMAJ.NS
INE01NH01023,DHOOTTRANS.NS
INE320L01011,DHUNINV.NS
INE989C01038,DIACABS.NS
INE393P01035,DIAMONDYD.NS
INE303A01010,DICIND.NS
INE184O01015,DIFFNKG.NS
INE0U4701011,DIGITIDE.NS
INE131C01011,DISAQ.NS
INE836F01026,DISHTV.NS
INE753U01022,DIVGIITTS.NS
INE361B01024,DIVISLAB.NS
INE935N01020,DIXON.NS
INE271C01023,DLF.NS
INE250K01012,DLINKINDIA.NS
INE192R01011,DMART.NS
INE505A01010,DMCC.NS
INE021O01019,DODLA.NS
INE966A01022,DOLATALGO.NS
INE325C01035,DOLLAR.NS
INE920A01037,DOLPHIN.NS
INE321T01012,DOMS.NS
INE266Y01019,DPABHUSHAN.NS
INE0SCO01019,DPEL.NS
INE360C01024,DPSCLTD.NS
